web_scraper_order,web_scraper_start_url,URL,Title,Ingredients,Preparation time,Conservation time,Level,Benefits
"1768681685-56","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lait-pour-le-corps-douceur-de-figue","Lait pour le corps ""douceur de figue""","~55 mlLait végétal neutre55 mlFragrance naturelle Feuille de Figuier17 gouttes","Préparation : 5  min","Conservation : ~3 mois*","Niveau : Débutant","Hydratant"
"1768681718-57","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lotion-capillaire-thermo-protectrice","Lotion capillaire thermo-protectrice","~100 ml  Hydrolat de Romarin à verbénone BIO30 gEau minérale60 g Actif Silicone végétal2 gActif Keratin'protect3 gActif Céramides végétales3 gExtrait aromatique naturel Ananas BIO1.5 g Conservateur Cosgard0.6 g soit 20 gouttes","Préparation : 15  min","Conservation : ~3 mois*","Niveau : Débutant","Protecteur & émollient"
"1768681747-58","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-demaquillante-apaisante-visage-et-yeux-pour-peaux-sensibles","Huile démaquillante apaisante visage et yeux pour peaux sensibles","~ 50 ml  Phase A Huile démaquillante Prune & Avoine47 gActif cosmétique Phys'apaise0,5 gPhase BActif Bisabolol BIO0,25 g soit 8 gouttes","Préparation : 5  min","Conservation : 6 mois*","Niveau : Débutant","Apaisant"
"1768681776-59","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-fortifiante-pour-les-cheveux-moutarde-carapate","Huile fortifiante pour les cheveux moutarde & carapate","~50 ml Huile de Moutarde BIO2 cuillères à soupe (20 ml)Huile essentielle Menthe poivrée BIO9 gouttesHuile de Carapate - Ricin noir30 ml","Préparation : 5  min","Conservation : ~6 mois*","Niveau : Débutant","Beauté capillaire"
"1768681807-60","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/masque-roll-regard-frais","Masque roll-on ""Regard frais""","~30 ml Phase A Eau minérale25 gActif Caféine naturelle0.3 gGomme Acacia (ou arabique)0.9 gPhase BGomme Xanthane0.15 g soit 1.5 cuillère PINCHPhase CActif Elastine Booster0.15 g soit 2 cuillères SMIDGENActif Complexe Hydratation Intense0.3 gGlycérine végétale - Emollient3 gConservateur Cosgard0.2 g soit 6 gouttes","Préparation : 20  min","Conservation : ~3 mois *","Niveau : Débutant","Tous types de peaux"
"1768681838-61","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gelules-special-peaux-seches-et-matures-nourrir-et-regenere-la-peau-de-l-interieu","Gélules spécial peaux sèches et matures","~90 ml soit ~100 gélulesHuile de Rose Musquée du Chili BIO30 mlHuile de Bourrache BIO30 mlHuile de Cameline BIO30 ml","Préparation : 5  min","Conservation : ~2 mois*","Niveau : Débutant","Nutritif"
"1768681870-62","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/elixir-antioxydant-raviveur-de-teint-la-cerise","Elixir à l'huile de Cerise antioxydante et illuminatrice","~ 15 mlHuile de Cerise BIO15 mlFragrance naturelle Cerise exquise10 gouttesColorant naturel Rouge grenadine2 gouttes","Préparation : 10  min","Conservation : ~6 mois","Niveau : Débutant","Anti-âge"
"1768681898-63","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/creme-corps-voile-de-douceur","Crème corps voile de douceur","~100 ml Phase A Huile d'Amande douce BIO16.2 gCire émulsifiante Olive Douceur7.1 gPhase BEau minérale65.1 gPhase CActif Collagène végétal4.8 gActif Allantoïne1 gConservateur Naticide1 g","Préparation : 25  min","Conservation : ~6 mois *","Niveau : Débutant","Apaisant"
"1768681927-64","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/beurre-de-sapote","Beurre de sapote","~50 ml Huile de Sapote32 gAcide stéarique - Agent de texture4.4 gAlcool cétylique - Emulsifiant3.6 g","Préparation : 15  min","Conservation : ~3 mois","Niveau : Débutant","Fortifiant capillaire"
"1768681959-65","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/creme-hydratante-jeunesse-aux-3-roses-bienfaisantes","Crème hydratante ""jeunesse"" aux 3 roses bienfaisantes","~30 ml Phase A Hydrolat de Rose de Mai BIO7.5 gEau minérale18 gCire florale Rose de Damas0.1 gOlivem 1000 - émulsifiant2 gPhase BHuile de Rose Musquée du Chili BIO3 gPhase CColorant naturel Rouge grenadine0.03 gHuile essentielle Bois de rose BIO0.1 gConservateur Naticide0.2 g","Préparation : 25  min","Conservation : ~3 mois","Niveau : Débutant","Anti-âge"
"1768681986-66","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gel-emollient-cuticules-la-peche","Gel émollient cuticules à la pêche","~ 15 ml   Eau minérale12.1 gGomme Xanthane0.3 gGlycérine végétale - Emollient1.2 gActif Céramides végétales0.4 gExtrait CO2 Calendula BIO0.01 g soit 1/2 cuillère DROPConservateur Cosgard0.1 g soit 3 gouttes","Préparation : 20  min","Conservation : ~1 mois *","Niveau : Avancé","Protecteur & émollient"
"1768682016-67","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/masque-cheveux-apaisant-par-naturellement-lyla","Masque cheveux aloe vera apaisant par naturellement Lyla","Pour un masqueArgile blanche surfine (Kaolin)1 cuillère à soupeHuile de Baies de Laurier BIO1 cuillère à soupeHuile de Chaulmoogra1 cuillère à soupeGel natif d'Aloe Vera BIO1 cuillère à soupeEau","Niveau : Débutant","","",""
"1768682046-68","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/serum-lissant-anti-frisottis-longueurs-et-pointes","Sérum lissant & anti-frisottis longueurs et pointes","~30 ml Huile de Roquette BIO vierge1 dosette de 10 mlHuile de Brocoli BIO1 dosette de 10 mlCaprylis - Emollient10 mlHuile essentielle Pamplemousse sans furocoumarines BIO18 gouttes","Préparation : 5  min","Conservation : ~6 mois*","Niveau : Débutant","Nutritif"
"1768682076-69","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/shampooing-solide-2-en-1-stop-pellicule-cade-baies-de-laurier","Shampoing solide stop pellicule","~ 100 gPhase A Pâte à mousse20 gTensioactif SCI24 gAlcool cétéarylique - Emulsifiant1.3 gEau minérale4 gHuile de Baies de Laurier BIO4.6 gPhase BPoudre d'Amidon de Maïs BIO45 gHuile essentielle Cade BIO0.9 soit 35 gouttes","Préparation : 15  min","Conservation : ~6 mois*","Niveau : Débutant","Purifiant"
"1768682107-70","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/rouge-levres-rouge-grenadine","Rouge à lèvres rouge grenadine","~ 10 ml Base Stick Melt & Pour8 gCire de Carnauba BIO0.15 g soit 2 cuillères SMIDGENColorant naturel Rouge Baiser1 gColorant naturel Rouge grenadine0.5 gFragrance naturelle Cerise exquise0.3 gFragrance naturelle Baby Doll0.1 g soit 3 gouttes","Préparation : 15  min","Conservation : ~6 mois*","Niveau : Avancé",""
"1768682136-71","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/cremeux-pour-le-bain-macarons-framboise","Galets de bain Framboise","~3 x 30 gPhase A Beurre de Cacao blanc pastilles BIO6 gPâte à mousse35 gTensioactif SLSA9 gEau minérale10 gPoudre d'Amidon de Maïs BIO30 gPhase BFragrance naturelle Framboise gourmande2.2 gPhase CColorant naturel Rouge Baiser0.5 g","Préparation : 25  min","Conservation : ~ 6 mois*","Niveau : Confirmé","Parfumant"
"1768682166-72","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gel-contour-des-yeux-ayurvedique-anti-poches-cernes-et-rides","Gel contour des yeux ayurvédique","~ 15 mlPhase A - Première partie : Réalisation du macérât aqueux de Manjishta à 5% Eau minérale24 gPoudre de Manjishta1.3 gPhase B - Deuxième partie : Réalisation du gel contour des yeuxMacérât aqueux de Manjishta à 5% 13 gExtrait de Petit Houx BIO (Fragon)1.7 gExtrait de Vigne rouge BIO1.7 gGomme Xanthane0.3 g soit 3 cuillères PINCHArôme Alimentaire naturel Fraise BIO0.1 g soit 3 gouttesConservateur Cosgard0.2 g soit 7 gouttes","Préparation : 15  min","Conservation : ~1 mois *","Niveau : Débutant","Anti-âge"
"1768682196-73","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/soin-anti-vergetures-macadamia-rose-musquee","Soin macadamia & rose musquée préventif anti-vergetures","~100 ml Phase A Huile de Macadamia36 gHuile de Rose Musquée du Chili BIO9.2 gOlive Protection n°2 - émulsifiant7.6 gStéarate de magnésium - Agent de texture13 gPhase BEau minérale31 gGlycérine végétale - Emollient2.5 gConservateur Cosgard0.6 g soit 20 gouttes","Préparation : 30  min","Conservation : ~1 mois*","Niveau : Avancé","Protecteur & émollient"
"1768682226-74","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/eau-vitaminee-fraiche-jasmin-fraises-des-bois","Eau fraîche vitaminée jasmin & fraise","~100 ml  Eau aromatique de Jasmin sambac40 gEau minérale57 gActif Vitamine C stabilisée1.2 gArôme Alimentaire naturel Fraise BIO1 gColorant naturel Jus de Betterave BIO0.1 gAcide lactique0.3 g soit 9 gouttesConservateur Cosgard0.6 g","Préparation : 10  min","Conservation : ~3 mois *","Niveau : Débutant","Fraîcheur"
"1768682257-75","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/spray-biphase-reparateur-cheveux-abimes-al-huile-de-chebe","Spray biphasé réparateur cheveux abîmés à l'huile de chébé","~100 ml  Phase A Eau minérale52 gActif Fucocert5 gConservateur Cosgard0,7 g soit 22 gouttesPhase BHuile de Chébé (macérat huileux)38 gFragrance naturelle Sublime1,7 g soit 70 gouttes","Préparation : 15  min","Conservation : 3 mois*","Niveau : Débutant","Beauté capillaire"
"1768682288-76","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/soin-apres-rasage-reglisse-santal-pour-lui","Soin après-rasage Réglisse & Santal pour Lui","~30 ml Première partie : Réalisation du macérât de RéglissePhase A Poudre de Réglisse3 gEau minérale24 gGlycérine végétale - Emollient3 gPhase BHuile de Noix du Brésil BIO9 gCire émulsifiante n°12.6 gPhase CEau aromatique de Santal blanc13 gMacérât hydroglycériné de Réglisse à 10% 4.7 gPhase DHuile essentielle Amyris0.15 g soit 5 gouttesAntioxydant Vitamine E naturelle0.03 g soit 1 goutteConservateur Extrait pépins de pamplemousse0.2 g soit 6 gouttesBicarbonate de Soude (bicarbonate de sodium)0.02 g soit 1/2 cuillère DROP","Préparation : 25  min","Conservation : ~1 mois *","Niveau : Avancé","Apaisant"
"1768682317-77","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/roll-de-massage-douleurs-articulaires-tensions-musculaires","Roll-on de massage confort musculaire et articulaire","~ 50 ml  Phase A Cire Cera Bellina1.5 gActif Menthol en cristaux BIO0.9 g Huile d'Olive BIO41 gPhase BHuile essentielle Gaulthérie couchée0.9 g soit 28 gouttes","Préparation : 15  min","Conservation : ~6 mois *","Niveau : Débutant",""
"1768682346-78","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/dissolvant-express-aux-agrumes","Dissolvant ""express"" aux agrumes","~60 mlHuile de Ricin BIO1.9 gHuile de Bourrache BIO0.9 gHuile essentielle Orange douce0.4 g soit 16 gouttesHuile essentielle Citron sans furocoumarines de Sicile BIO0.5 g soit 21 gouttesBase Parfum (alcool 90°)20.5 gBase Eco-dissolvant31.2 g","Préparation : 5  min","Conservation : ~6 mois","Niveau : Débutant","Nutritif"
"1768682376-79","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/cire-epiler-miel-citron","Cire à épiler miel & citron","~100 ml  Phase A Sucre en poudre70 gMiel liquide BIO5 gHydrolat de Citron BIO21 gAcide lactique1 g soit 25 gouttesPhase BSubstitut végétal de lanoline - Emollient3 g","Préparation : 35  min","Conservation : ~6 mois au réfrigérateur*","Niveau : Confirmé","Tous types de peaux"
"1768682406-80","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-relipidante-vegetale-seche-pour-le-corps","Huile sèche nutritive pour le corps","~ 250 ml Caprylis - Emollient199.5 gDicaprylyl carbonate - Emollient17.8 g Huile de Pépins de raisin13.8 gActif Squalane végétal d'Olive2.5 gFragrance naturelle Baby Doll1.3 gAntioxydant Vitamine E naturelle0.5 g soit 17 gouttes","Préparation : 5  min","Conservation : ~ 6 mois","Niveau : Débutant","Nutritif"
"1768682437-81","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gel-nettoyant-visage-purifiant-et-fraicheur","Gel nettoyant visage Purifiant et Fraîcheur","Pour ~100 mlGel nettoyant doux Prébiotique, Zinc & Concombre100 g soit 1/2 flacon de 200 mlHuile essentielle Menthe poivrée BIO0,1 g soit 3 gouttesActif Algo'Zinc5 g","Préparation : 5  min","Conservation : 3 mois*","Niveau : Débutant","Fraîcheur"
"1768682467-82","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-de-chebe-regenerante-cheveux-textures","Huile de Chébé régénérante cheveux texturés","~100 ml  Huile de Chébé (macérat huileux)66.5 gHuile de Carapate - Ricin noir19.2 gHuile de Baobab BIO9.1 g","Préparation : 5  min","Conservation : ~6 mois *","Niveau : Débutant","Apaisant"
"1768682496-83","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/mon-veritable-savon-au-miel","Mon véritable savon au miel","~70 gPhase A Huile d'Abricot BIO25.1 gHuile de Coprah BIO12.6 gCire d'Abeille jaune BIO4.2 gPhase BSoude caustique (solide)5.5 gEau minérale16.3 gPhase CFragrance naturelle Bee happy2.1 gMiel liquide (facultatif)4.2 g","Préparation : 30  min","Conservation : ~6 mois *","Niveau : Avancé","Tous types de peaux"
"1768682526-84","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/serum-ressort-definition-pour-les-boucles","Sérum ressort & définition pour les boucles","~30 ml Huile de Pracaxi4.6 gHuile de Piqui BIO4.6 gHuile de Brocoli BIO4.6 gFragrance naturelle Cocosun1 gCoco silicone - Emollient6 g","Préparation : 5  min","Conservation : ~6 mois*","Niveau : Débutant","Nutritif"
"1768682556-85","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/spray-desinfectant-pour-les-mains","Spray purifiant pour les mains","~10 ml  Base Parfum (alcool 90°)8 mlGlycérine végétale - Emollient0.5 mlHuile essentielle Lavande fine Altitude AOP Provence16 gouttesHuile essentielle Marjolaine à coquilles8 gouttesHuile essentielle Menthe poivrée BIO2 gouttes","Préparation : 5  min","Conservation : ~6 mois","Niveau : Débutant","Purifiant"
"1768682588-86","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/eau-micellaire-yeux-et-peaux-sensibles-melisse-concombre","Eau micellaire mélisse & concombre visage et yeux","~100 ml Hydrolat de Mélisse de Provence BIO30 geau minérale47 gExtrait de Concombre BIO20 g Tensioactif Mousse de Sucre sans palme2 g Conservateur Extrait pépins de pamplemousse0.6 g","Préparation : 5  min","Conservation : ~3 mois *","Niveau : Débutant","Adoucissant"
"1768682617-87","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/mon-vinaigre-de-rincage-par-daphne-narcy","Mon vinaigre de rinçage par daphné narcy","~90 mlVinaigre de Grenade BIO naturel10 mlVinaigre de fleur de Coco BIO naturel10 mlEau minérale70 mlConservateur Cosgard15 gouttes","Préparation : 5  min","Conservation : ~3 mois*","Niveau : Débutant","Adoucissant"
"1768682648-88","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/cupcake-pour-le-bain-caramel","Effervescents de bain Caramel","~3 x 50 gPhase A : Socles effervescentsBeurre de Cacao blanc pastilles BIO6 gBicarbonate de Soude (bicarbonate de sodium)60 gAcide citrique30 gFragrance naturelle Divine Vanille1.9 gCaramel BIO liquide - colorant1 gPhase B : CrémeuxPâte à mousse20 gEau minérale13 gPoudre d'Amidon de Maïs BIO16 gPhase C","Préparation : 25  min","Conservation : ~6 mois*","Niveau : Débutant","Adoucissant"
"1768682683-89","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/eau-dynamisante-fraicheur","Eau dynamisante fraicheur","~ 30 mlHydrolat de Menthe poivrée BIO20 mlHydrolat de Coriandre BIO10 mlConservateur Cosgard6 gouttes","Préparation : 5  min","Conservation : ~3 mois*","Niveau : Débutant","Fraîcheur"
"1768682708-90","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/fluide-hydratant-anti-feu","Fluide hydratant Anti-feu","~50 ml Phase A Huile d'Olive BIO5 gCire émulsifiante n°3 sans palme1.5 gPhase BEau minérale 45 gGomme Xanthane0.2 g soit 1 cuillère PINCHPhase CActif Complexe Hydratation Intense0.7 gActif Bisabolol BIO0.2 gHuile essentielle Vétiver d'Haïti0.05 g soit 2 gouttes Conservateur Cosgard0.3 g soit 10 gouttes","Préparation : 25  min","Conservation : ~3 mois *","Niveau : Débutant","Apaisant"
"1768682736-91","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/brillant-levres-roll-amande-caramel","Brillant à lèvres roll-on amande & caramel","~ 10 ml Base Gloss3.8 gHuile d'Amande douce BIO6.9 gGlycérine végétale - Emollient1.1 gFragrance naturelle Body butter0.05 g soit 2 gouttesMica Noisette scintillant0.01 g soit 1 cuillère DROP","Préparation : 10  min","Conservation : ~6 mois *","Niveau : Débutant",""
"1768682768-92","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/creme-demaquillante-camomille-douceur","Crème démaquillante camomille douceur","~ 30 mlCrème visage et corps désaltérante25 gHydrolat de Camomille allemande BIO (matricaire)3 gExtrait CO2 Camomille allemande BIO0.03 g soit 1/2 cuillère DROPBase micellaire concentrée1.5 gConservateur Leucidal0.6 g soit 14 gouttes","Préparation : 10  min","Conservation : ~ 3 mois*","Niveau : Débutant","Apaisant"
"1768682796-93","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/shampooing-creme-nutritif-miel-avoine","Shampoing crème au miel et à l'avoine nourrissants","~ 250 ml  Phase A Crème lavante Coco & Karité135 mlHuile d'Avoine5 mlPhase BActif Honeyquat5 mlFragrance naturelle Bee happy2 ml soit 70 gouttes","Préparation : 5  min","Conservation : 3 mois*","Niveau : Débutant","Nutritif"
"1768682826-94","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/poudre-detachante-avant-machine-tache-de-gras","Poudre détachante avant machine - tache de gras","~ 280 mlBlanc de Meudon (carbonate de calcium) 500g60 g","Préparation : 5  min","Conservation : ~ 6 mois*","Niveau : Débutant",""
"1768682856-95","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/parfum-dambiance-fraicheur-fruitee","Spray purifiant vitaminé","~100 ml  Phase A Base Parfum (alcool 90°)66.6 gPhase BHuile essentielle Myrte rouge BIO1 gHuile essentielle Orange douce4 gHuile essentielle Pin laricio (Lariccio) de Corse BIO0.5 gPhase CEau minérale25 g","Préparation : 15  min","Conservation : ~6 mois *","Niveau : Débutant","Parfumant"
"1768682888-96","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lait-corps-naturel-silhouette-slim","Lait corps naturel silhouette ""Slim""","~100 ml  Actif Fuco'slim BIO9 mlHuile essentielle de Criste marine (Christe marine) BIO17 gouttes","Préparation : 10  min","Conservation : ~ 1 mois à température ambiante ou 3 mois au réfrigérateur*","Niveau : Débutant","Minceur"
"1768682918-97","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/bougie-pain-d-epices-gourmand","Bougie Pain d'épices gourmand","~ 50 ml Cire à bougie végétale50 gFragrance naturelle Pain d'épices2,7 gFragrance naturelle Pomme d'Amour2,4 g","Préparation : 20  min","Conservation : ~6 mois *","Niveau : Débutant","Parfumant"
"1768682947-98","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gelee-nettoyante-et-exfoliante-aloe-rose-musquee","Gelée nettoyante et exfoliante aloe & rose musquée","~100 ml  Gel natif d'Aloe Vera BIO100 mlBase micellaire concentrée8 mlExfoliant Rose musquée en poudre BIO1 pelle de 2 mlFragrance naturelle Pétales de Rose15 gouttes","Préparation : 10  min","Conservation : ~1 mois au réfrigérateur","Niveau : Débutant","Exfoliant"
"1768682976-99","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/creme-de-soin-cheveux-de-soie","Crème de soin cheveux de soie","~ 200 ml   Masque capillaire200 mlActif Protéines de Soie hydrolysées5 mlHuile de Piqui BIO5 ml","Préparation : 10  min","Conservation : ~3 mois*","Niveau : Débutant","Beauté capillaire"
"1768683006-100","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/huile-ayurvedique-miraculeuse-cheveux-visage-corps","Huile ayurvédique miraculeuse cheveux, visage & corps","~100 ml Phase A - Première partie : Réalisation du macérât huileux de fenugrec à 10% (~25 ml) Huile de Bellis (macérât huileux)31.5 gPlante ayurvédique Fenugrec (Methi) BIO (poudre)3.5 gPhase B - Deuxième partie : Réalisation de l'huile miraculeuse (~100 ml)Macérât huileux de Fenugrec à 10%23 gHuile de Coco BIO9.1 gHuile de Moutarde BIO9.2 gHuile de Chaulmoogra18.4 gHuile de Sésame BIO32.2 g","Préparation : 15  min","Conservation : ~6 mois","Niveau : Débutant","Anti-âge"
"1768683042-101","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/beurre-de-bronzage-satinant-pour-le-corps-vanille-carotte","Beurre de bronzage satinant pour le corps vanille & carotte","~100 ml Phase A Beurre de Tucuma brut27.3 gHuile de Coco BIO36.8 gPhase BHuile de Carotte BIO (macérât huileux)9.2 gHuile de Vanille BIO (macérât huileux)18.4 gMica Poudre d'or0.9 gMica Noisette scintillant0.4 gAntioxydant Vitamine E naturelle0.2 g","Préparation : 30  min","Conservation : ~6 mois*","Niveau : Avancé","Bonne mine & bronzage"
"1768683066-102","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/correcteur-anti-cerne-et-imperfections-la-lavande","Correcteur imperfections et estompeur de cernes","Pour un flacon ~ 10 ml Phase A Actif Oxyde de zinc6.9 gBase de teint Sable doré0,5 gOxyde minéral jaune0,1 g soit 1 cuillère PINCHPhase BBase Stick Melt & Pour9 g","Préparation : 30  min","Conservation : ~6 mois *","Niveau : Confirmé","Maquillage"
"1768683096-103","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/contour-des-yeux-lift-eclat","Contour des yeux lift éclat","~ 15 ml   Sérum concentré d'Acide hyaluronique 3,5%15 mlActif Poudre de lumière1,5 cuillère DASHActif Concentré Eclat & Lumière0.3 mlActif Natur'lift1 cuillère PINCH","Préparation : 5  min","Conservation : ~1 mois*","Niveau : Débutant","Anti-âge"
"1768683128-104","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/baume-preparateur-au-soleil","Baume préparateur au soleil","50 mlPhase A Beurre de Tucuma brut3 cuillères à soupe (soit 1 pot de 30 ml)Phase BHuile d'Abricot2 cuillères à soupeExtrait CO2 Carotte BIO1 cuillère à caféFragrance naturelle Sorbet d'abricot35 gouttes","Préparation : 15  min","Conservation : ~6 mois*","Niveau : Débutant","Nutritif"
"1768683157-105","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/savon-de-marseille-terre-de-sommieres","Savon de marseille détachant à la terre de sommières","~ 500 gPhase A Savon de Marseille sans palme en paillettes200 gEau du robinet250 gPhase BTerre de Sommières50 gHuile essentielle Lemongrass BIO1.8 g soit 64 gouttes","Préparation : 35  min","Conservation : ~6 mois*","Niveau : Débutant",""
"1768683190-106","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/masque-capillaire-au-ginseng-force-vegetale","Masque capillaire au ginseng « force végétale »","~100 ml Poudre de Ginseng brésilien (Gomphréna) BIO - complément alimentaire35 gMoringa BIO en poudre20 gHuile de Moutarde BIO3 gHuile essentielle Citron vert BIO0.5 g","Préparation : 10  min","Conservation : ~6 mois","Niveau : Débutant","Fortifiant capillaire"
"1768683218-107","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/lait-auto-bronzant-satine-au-caramel","Lait satiné au caramel et à la dha naturelle auto-bronzante","~100 ml Phase A Huile de Carotte BIO (macérât huileux)4.8 gHuile de Germes de blé19.4 gCire émulsifiante n°22.6 gPhase BHydrolat de Verveine odorante BIO41 gPhase CExtrait de plante Poudre de Riz micronisée BIO7 gActif DHA naturelle6 gMica Bronze0.15 g soit 2 cuillères PINCHMica Cuivre0.15 g soit 1 cuillère DASHAntioxydant Vitamine E naturelle0.2 gConservateur Extrait pépins de pamplemousse0.5 gBicarbonate de Soude (bicarbonate de sodium)0.1 soit 2 cuillères DROP","Préparation : 30  min","Conservation : ~1 mois*","Niveau : Avancé","Bonne mine & bronzage"
"1768683248-108","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/baume-au-chanvre-pour-massage-zen","Baume au chanvre pour massage Zen","~100 ml  Beurre de Karité (sauvage) désodorisé39.3 gHuile de Chanvre BIO16.6 gHuile végétale Carthame BIO Linoléique25.7 gHuile essentielle Litsée citronnée BIO0.4 gHuile essentielle Mandarine verte BIO0.8 gAntioxydant Vitamine E naturelle0.2 g","Préparation : 30  min","Conservation : ~3 mois*","Niveau : Avancé","Nutritif"
"1768683276-109","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/stick-deo-nigelle-citron","Stick déo nigelle & citron","~ 50 ml  Phase A Cire Cera Bellina18 gDicaprylyl carbonate - Emollient11.6 gDry Touch - Agent de toucher9.9 gHuile de Nigelle BIO (Cumin noir)5.5 gActif Zinc ricinoleate1.5 gActif Complexe déodorant Farnesol - Lemonester1.5 gPhase BActif Microsphères de silice2 gHuile essentielle Citron sans furocoumarines de Sicile BIO0.3 g soit 15 gouttes","Préparation : 15  min","Conservation : ~6 mois*","Niveau : Avancé","Adoucissant"
"1768683316-110","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/creme-de-soin-anti-age-pour-peaux-mixtes-et-grasses","Crème de soin ""jeunesse"" pour peaux mixtes et grasses","~50 ml Phase A Olivem 1000 - émulsifiant2.5 gEau minérale 37 gPhase BPoudre d'Arrow root BIO7.5 gActif Relax'rides1.5 gActif Bacti-Pur1 gFragrance naturelle Douceur d'Orient0.4 g soit 16 gouttes Conservateur Naticide0.3 g soit 10 gouttes","Préparation : 25  min","Conservation : ~3 mois *","Niveau : Débutant","Anti-âge"
"1768683337-111","https://www.aroma-zone.com/recipes/recipe-list","https://www.aroma-zone.com/recipe/gelee-zero-defaut-pour-peaux-grasses","Gelée ""zéro défaut"" pour peaux grasses","~100 ml Gel natif d'Aloe Vera BIO100 mlActif Acide salicylique végétal5 mlActif Algo'Zinc4.5 mlFragrance naturelle Feuille de Figuier17 gouttes","Préparation : 10  min","Conservation : ~1 mois à température ambiante OU 3 mois au réfrigérateur*","Niveau : Débutant","Purifiant"
